n, time
1000,0.066
1100,0.072
1200,0.08
1300,0.087
1400,0.097
1500,0.104
1600,0.108
1700,0.118
1800,0.127
1900,0.135
2000,0.141
2100,0.15
2200,0.156
2300,0.163
2400,0.173
2500,0.18
2600,0.189
2700,0.195
2800,0.202
2900,0.21
3000,0.218
3100,0.224
3200,0.232
3300,0.239
3400,0.248
3500,0.255
3600,0.259
3700,0.27
3800,0.274
3900,0.284
4000,0.292
4100,0.298
4200,0.306
4300,0.316
4400,0.321
4500,0.329
4600,0.337
4700,0.345
4800,0.349
4900,0.361
5000,0.366
5100,0.372
5200,0.379
5300,0.389
5400,0.396
5500,0.401
5600,0.41
5700,0.415
5800,0.424
5900,0.426
6000,0.437
6100,0.448
6200,0.454
6300,0.463
6400,0.468
6500,0.471
6600,0.484
6700,0.489
6800,0.496
6900,0.509
7000,0.512
7100,0.514
7200,0.518
7300,0.535
7400,0.545
7500,0.553
7600,0.559
7700,0.567
7800,0.569
7900,0.575
8000,0.58
8100,0.586
8200,0.606
8300,0.609
8400,0.616
8500,0.626
8600,0.626
8700,0.634
8800,0.649
8900,0.655
9000,0.665
9100,0.67
9200,0.674
9300,0.682
9400,0.695
9500,0.701
9600,0.703
9700,0.719
9800,0.724
9900,0.733
10000,0.737
10100,0.738
10200,0.749
10300,0.751
10400,0.759
10500,0.779
10600,0.778
10700,0.798
10800,0.802
10900,0.812
11000,0.824
11100,0.825
11200,0.837
11300,0.844
11400,0.85
11500,0.85
11600,0.857
11700,0.88
11800,0.878
11900,0.888
12000,0.902
12100,0.909
12200,0.923
12300,0.929
12400,0.934
12500,0.942
12600,0.943
12700,0.958
12800,0.966
12900,0.973
13000,0.986
13100,0.983
13200,0.99
13300,1.003
13400,1.0
13500,1.02
13600,1.016
13700,1.037
13800,1.049
13900,1.049
14000,1.057
14100,1.072
14200,1.077
14300,1.076
14400,1.088
14500,1.095
14600,1.102
14700,1.112
14800,1.129
14900,1.127
15000,1.129
15100,1.14
15200,1.154
15300,1.169
15400,1.178
15500,1.188
15600,1.182
15700,1.188
15800,1.212
15900,1.207
16000,1.221
16100,1.23
16200,1.229
16300,1.237
16400,1.264
16500,1.272
16600,1.284
16700,1.291
16800,1.276
16900,1.297
17000,1.303
17100,1.322
17200,1.321
17300,1.325
17400,1.34
17500,1.338
17600,1.348
17700,1.366
17800,1.367
17900,1.392
18000,1.389
18100,1.41
18200,1.398
18300,1.415
18400,1.433
18500,1.439
18600,1.455
18700,1.449
18800,1.461
18900,1.474
19000,1.488
19100,1.477
19200,1.486
19300,1.499
19400,1.501
19500,1.523
19600,1.518
19700,1.527
19800,1.531
19900,1.565
20000,1.567
20100,1.578
20200,1.575
20300,1.587
20400,1.61
20500,1.618
20600,1.629
20700,1.644
20800,1.64
20900,1.645
21000,1.66
21100,1.669
21200,1.682
21300,1.685
21400,1.697
21500,1.709
21600,1.708
21700,1.724
21800,1.73
21900,1.742
22000,1.747
22100,1.754
22200,1.769
22300,1.779
22400,1.784
22500,1.795
22600,1.804
22700,1.815
22800,1.825
22900,1.832
23000,1.837
23100,1.85
23200,1.862
23300,1.858
23400,1.874
23500,1.887
23600,1.895
23700,1.898
23800,1.896
23900,1.918
24000,1.93
24100,1.936
24200,1.947
24300,1.955
24400,1.974
24500,1.974
24600,1.985
24700,1.985
24800,1.999
24900,2.02
25000,2.03
25100,2.043
25200,2.04
25300,2.044
25400,2.066
25500,2.087
25600,2.085
25700,2.095
25800,2.094
25900,2.108
26000,2.126
26100,2.134
26200,2.14
26300,2.142
26400,2.156
26500,2.165
26600,2.172
26700,2.186
26800,2.197
26900,2.206
27000,2.216
27100,2.231
27200,2.242
27300,2.227
27400,2.254
27500,2.242
27600,2.27
27700,2.281
27800,2.286
27900,2.32
28000,2.323
28100,2.321
28200,2.331
28300,2.337
28400,2.347
28500,2.365
28600,2.376
28700,2.39
28800,2.39
28900,2.404
29000,2.401
29100,2.471
29200,2.51
29300,2.451
29400,2.459
29500,2.464
29600,2.473
29700,2.486
29800,2.488
29900,2.503
30000,2.513
30100,2.517
30200,2.546
30300,2.542
30400,2.546
30500,2.563
30600,2.569
30700,2.582
30800,2.582
30900,2.585
31000,2.615
31100,2.609
31200,2.627
31300,2.637
31400,2.655
